"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","We are with you Florida! https://t.co/qzrVLeFbyF
https://t.co/HVVhSmBg7S https://t.co/rcB6OCwLeH",FALSE,18972,NA,2018-10-10 16:05:55,FALSE,NA,"1050054830843199490",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",5077,FALSE,FALSE,NA,NA
"2","Despite so many positive events and victories, Media Reseach Center reports that 92% of stories on Donald Trump are… https://t.co/YHfGjfMThn",FALSE,54158,NA,2018-10-10 13:01:05,TRUE,NA,"1050008315286171648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15607,FALSE,FALSE,NA,NA
"3","Walker Stapleton is running as the highly respected Republican Candidate for Governor of the Great State of Colorad… https://t.co/Q0sTaKwDlH",FALSE,32741,NA,2018-10-10 12:47:01,TRUE,NA,"1050004777034309633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",8753,FALSE,FALSE,NA,NA
"4","THANK YOU IOWA &amp; NEBRASKA! VOTE, VOTE, VOTE! https://t.co/0pWiwCHGbh https://t.co/tzkiQ4IlEd",FALSE,44163,NA,2018-10-10 01:23:49,FALSE,NA,"1049832845592723457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11021,FALSE,FALSE,NA,NA
"5","https://t.co/CPf3oxgdRX",FALSE,28285,NA,2018-10-10 01:18:12,FALSE,NA,"1049831428115062790",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",7112,FALSE,FALSE,NA,NA
"6","Beautiful evening in Iowa. GOD BLESS THE U.S.A.! #MAGA<U+0001F1FA><U+0001F1F8> https://t.co/Zi0rwyajrz",FALSE,42020,NA,2018-10-10 01:09:41,FALSE,NA,"1049829285677203456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16023,FALSE,FALSE,NA,NA
"7",".@FLGovScott has been relentless in securing the funding to fix the algae problem from Lake Okeechobee - we will so… https://t.co/6XMMjQ0V4v",FALSE,50974,NA,2018-10-09 21:39:22,TRUE,NA,"1049776359239643136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13433,FALSE,FALSE,NA,NA
"8","“President Donald J. Trump Approves Florida Emergency Declaration” https://t.co/TnTDCvs41W",FALSE,31368,NA,2018-10-09 19:08:57,FALSE,NA,"1049738503389675521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",7284,FALSE,FALSE,NA,NA
"9","REGISTER TO VOTE! https://t.co/0pWiwCHGbh https://t.co/3vYfDmpqiH",FALSE,44942,NA,2018-10-09 16:36:48,FALSE,NA,"1049700215949860864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17288,FALSE,FALSE,NA,NA
"10","FLORIDA - It is imperative that you heed the directions of your State and Local Officials. Please be prepared, be c… https://t.co/wPghUO1OF2",FALSE,42244,NA,2018-10-09 16:07:03,TRUE,NA,"1049692727582048258",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11160,FALSE,FALSE,NA,NA
